image_id,mask_id,class_name
1803242321-00000298,1803242321-00000298_00000,Human
1803242321-00000298,1803242321-00000298_00001,Background
1803241914-00000249,1803241914-00000249_00000,Human
1803241914-00000249,1803241914-00000249_00001,Background
1803250047-00000059,1803250047-00000059_00000,Human
1803250047-00000059,1803250047-00000059_00001,Background
1803241734-00000415,1803241734-00000415_00000,Human
1803241734-00000415,1803241734-00000415_00001,Background
1803241807-00000485,1803241807-00000485_00000,Background
1803241807-00000485,1803241807-00000485_00001,Human
1803241610-00000366,1803241610-00000366_00000,Background
1803241610-00000366,1803241610-00000366_00001,Human
1803251225-00000376,1803251225-00000376_00000,Human
1803251225-00000376,1803251225-00000376_00001,Background
1803241807-00000013,1803241807-00000013_00000,Human
1803241807-00000013,1803241807-00000013_00001,Background
1803251103-00000335,1803251103-00000335_00000,Human
1803251103-00000335,1803251103-00000335_00001,Background
1803251131-00000131,1803251131-00000131_00000,Background
1803251131-00000131,1803251131-00000131_00001,Human
1803241914-00000395,1803241914-00000395_00000,Human
1803241914-00000395,1803241914-00000395_00001,Background
1803250936-00000303,1803250936-00000303_00000,Human
1803250936-00000303,1803250936-00000303_00001,Background
1803242321-00000529,1803242321-00000529_00000,Human
1803242321-00000529,1803242321-00000529_00001,Background
1803242321-00000070,1803242321-00000070_00000,Human
1803242321-00000070,1803242321-00000070_00001,Background
1803241638-00000212,1803241638-00000212_00000,Human
1803241638-00000212,1803241638-00000212_00001,Background
1803250908-00000018,1803250908-00000018_00000,Human
1803250908-00000018,1803250908-00000018_00001,Background
1803251103-00000210,1803251103-00000210_00000,Human
1803251103-00000210,1803251103-00000210_00001,Background
1803241944-00000309,1803241944-00000309_00000,Human
1803241944-00000309,1803241944-00000309_00001,Background
1803250018-00000200,1803250018-00000200_00000,Human
1803250018-00000200,1803250018-00000200_00001,Background
1803242348-00000411,1803242348-00000411_00000,Human
1803242348-00000411,1803242348-00000411_00001,Background
1803250115-00000335,1803250115-00000335_00000,Human
1803250115-00000335,1803250115-00000335_00001,Background
1803250811-00000404,1803250811-00000404_00000,Human
1803250811-00000404,1803250811-00000404_00001,Background
1803241944-00000219,1803241944-00000219_00000,Human
1803241944-00000219,1803241944-00000219_00001,Background
1803250908-00000227,1803250908-00000227_00000,Human
1803250908-00000227,1803250908-00000227_00001,Background
1803250745-00000461,1803250745-00000461_00000,Human
1803250745-00000461,1803250745-00000461_00001,Background
1803251003-00000170,1803251003-00000170_00000,Human
1803251003-00000170,1803251003-00000170_00001,Background
1803250215-00000156,1803250215-00000156_00000,Human
1803250215-00000156,1803250215-00000156_00001,Background
1803251131-00000530,1803251131-00000530_00000,Human
1803251131-00000530,1803251131-00000530_00001,Background
1803250115-00000161,1803250115-00000161_00000,Human
1803250115-00000161,1803250115-00000161_00001,Background
1803242010-00000469,1803242010-00000469_00000,Human
1803242010-00000469,1803242010-00000469_00001,Background
1803250047-00000060,1803250047-00000060_00000,Human
1803250047-00000060,1803250047-00000060_00001,Background
1803241638-00000409,1803241638-00000409_00000,Background
1803241638-00000409,1803241638-00000409_00001,Human
1803241638-00000071,1803241638-00000071_00000,Human
1803241638-00000071,1803241638-00000071_00001,Background
1803241914-00000113,1803241914-00000113_00000,Human
1803241914-00000113,1803241914-00000113_00001,Background
1803241610-00000254,1803241610-00000254_00000,Human
1803241610-00000254,1803241610-00000254_00001,Background
1803250115-00000596,1803250115-00000596_00000,Human
1803250115-00000596,1803250115-00000596_00001,Background
1803250115-00000115,1803250115-00000115_00000,Human
1803250115-00000115,1803250115-00000115_00001,Background
1803250745-00000207,1803250745-00000207_00000,Human
1803250745-00000207,1803250745-00000207_00001,Background
1803250837-00000636,1803250837-00000636_00000,Human
1803250837-00000636,1803250837-00000636_00001,Background
1803242101-00000036,1803242101-00000036_00000,Human
1803242101-00000036,1803242101-00000036_00001,Background
1803242010-00000256,1803242010-00000256_00000,Human
1803242010-00000256,1803242010-00000256_00001,Background
1803242348-00000306,1803242348-00000306_00000,Human
1803242348-00000306,1803242348-00000306_00001,Background
1803251200-00000078,1803251200-00000078_00000,Human
1803251200-00000078,1803251200-00000078_00001,Background
1803250115-00000507,1803250115-00000507_00000,Human
1803250115-00000507,1803250115-00000507_00001,Background
1803242010-00000324,1803242010-00000324_00000,Human
1803242010-00000324,1803242010-00000324_00001,Background
1803251200-00000139,1803251200-00000139_00000,Human
1803251200-00000139,1803251200-00000139_00001,Background
